Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Banner Corp,BANR,20200911,33.72,33.81,33,33.56,149300
Stonecastle Fncl Cp,BANX,20200911,18.77,19.2955,18.7461,18.825,11300
Bioanalytical Syst,BASI,20200911,5.14,5.14,4.9049,4.96,4000
Liberty Braves CS A,BATRA,20200911,19.23,19.2599,18.43,18.61,72000
Liberty Braves CS C,BATRK,20200911,19.2,19.24,18.37,18.65,173100
Bed Bath & Beyond,BBBY,20200911,12.05,12.15,11.64,12.035,4889800
Concrete Pumping Holdings Inc,BBCP,20200911,3.83,3.83,3.39,3.51,73500
Beasley Brdcst Gr,BBGI,20200911,1.43,1.48,1.29,1.34,232600
Biotech Vaneck ETF,BBH,20200911,152.34,153.46,151,152.55,13700
Brickell Biotech Inc,BBI,20200911,0.8,0.82,0.78,0.791,601300
Bridgebio Pharma Inc,BBIO,20200911,33.4,35.14,33.01,33.56,688800
Bbq Holdings Inc,BBQ,20200911,4.6,4.87,4.5,4.69,12200
Barrett Business S,BBSI,20200911,52.12,52.515,51.93,52.15,67600
Bcb Bancorp Inc,BCBP,20200911,8.23,8.25,8.06,8.07,21800
Biocardia Inc,BCDA,20200911,2.17,2.29,2.15,2.17,80600
Biocardia Inc WT,BCDAW,20200911,0.63,0.63,0.63,0.63,100
Atreca Inc Cl A,BCEL,20200911,13.69,13.82,13.05,13.37,187800
Brainstorm Cell,BCLI,20200911,13.88,13.95,13.235,13.37,193300
Bay Commercial Bk CA,BCML,20200911,11.5001,11.72,11.475,11.58,40200
Blucora Inc,BCOR,20200911,10.06,10.12,9.88,10,303800
Brightcove Inc,BCOV,20200911,10.08,10.27,9.94,9.99,307100
1895 Bancorp of Wisconsin Inc,BCOW,20200911,8.06,8.92,8.06,8.86,900
Balchem Cp,BCPC,20200911,97.82,98.465,95.7201,96.05,72000
Biocryst Pharma Inc,BCRX,20200911,3.8,3.86,3.68,3.77,3379000
Bctg Acquisition Corp,BCTG,20200911,10.25,10.28,10.065,10.135,44300
Bicycle Therapeutics Plc ADR,BCYC,20200911,17,17.36,15.6,15.65,27500
Bridge Bancorp Inc,BDGE,20200911,19.69,19.69,19.32,19.54,69500
Biodelivery Sci Intl,BDSI,20200911,4.11,4.14,3.93,3.99,611600
Black Diamond Therapeutics Inc,BDTX,20200911,29.45,30.43,28.28,29.5,176100
Beam Therapeutics Inc,BEAM,20200911,25.85,26.7,25.18,25.65,361600
Biotelemetry Inc,BEAT,20200911,37.82,40.26,37.56,39.51,755500
Beacon Roofing Suppl,BECN,20200911,30.17,30.4,29.61,30.05,392500
BEL Fuse Inc Cl B,BELFB,20200911,11.12,11.3,10.73,10.76,26200
Bank First National Corp [Wisconsin],BFC,20200911,63.25,63.46,62,62.11,8700
Bankfinancial Corp,BFIN,20200911,7.55,7.58,7.45,7.51,28500
G-X Health & Wellness Thematic Et,BFIT,20200911,21.53,21.75,21.5,21.75,20600
