Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Clearpoint Neuro Inc.,CLPT,20200911,4.55,4.58,4.41,4.49,61700
Cellectar Biosc,CLRB,20200911,1.11,1.15,1.1,1.11,111900
IQ Chaikin U.S. Large Cap ETF,CLRG,20200911,24.8643,24.8643,24.8643,24.8643,11900
Clearone Inc,CLRO,20200911,2.23,2.9094,2.23,2.43,637900
Clearside Biomedi,CLSD,20200911,1.67,1.7,1.62,1.62,106700
Cleanspark Inc,CLSK,20200911,10.04,10.35,9.1,9.55,1576100
Celsion Corp,CLSN,20200911,0.8059,0.8343,0.76,0.78,401500
Town Sports International,CLUB,20200911,0.33,0.3499,0.2501,0.2709,3230500
Clovis Oncology Inc,CLVS,20200911,5.71,6.285,5.63,6.04,7715100
Euro Tech Hld,CLWT,20200911,2.37,2.37,2.29,2.325,4100
Calyxt Inc,CLXT,20200911,5.66,6.05,5.27,5.43,79700
Cambium Networks Corp,CMBM,20200911,13.87,14.48,13.7,13.95,68400
Columbus Mckinnon,CMCO,20200911,34.58,35,34.1025,34.71,65800
Comcast Corp A,CMCSA,20200911,44.09,44.74,43.97,44.67,18316300
Cim Commercial TR Cp,CMCT,20200911,10.36,10.55,10.23,10.31,36500
CME Group Inc,CME,20200911,163.79,164.52,162.04,163.21,2143800
Cm Finance Inc 6.125% Notes Due 2023,CMFNL,20200911,21.9,22.03,21.9,21.9,1100
Cm Life Sciences Inc,CMLFU,20200911,10.4,10.49,10.3,10.39,150100
Cumulus Media Inc Cl A,CMLS,20200911,5.18,5.26,5.06,5.21,67400
Checkmate Pharmaceuticals Inc,CMPI,20200911,11.5,12,11.385,11.5,83900
Cimpress N.V. Ord,CMPR,20200911,81.92,82.33,79.22,81.81,179300
Chimerix Inc,CMRX,20200911,2.48,2.48,2.31,2.37,298500
Comtech Telecom Company,CMTL,20200911,14.41,14.5,14.25,14.42,159000
Century Bancorp Inc,CNBKA,20200911,67.1,67.715,65.76,66.5,10800
Concert Pharmaceutic,CNCE,20200911,10.17,10.535,9.91,10.01,71900
Loncar Cancer Immunotherapy ETF,CNCR,20200911,26.2811,26.48,26.125,26.1441,10700
Conduent Inc,CNDT,20200911,3.5,3.65,3.37,3.57,3436000
Chinanet Online Hld,CNET,20200911,1.49,1.49,1.35,1.35,115700
Conifer Holdings,CNFR,20200911,2.76,2.85,2.68,2.7,1700
Cincinnati Bancorp,CNNB,20200911,8.8,8.8,8.8,8.8,100
Connectone Bancorp,CNOB,20200911,14.91,15,14.59,14.75,67400
Consolidated Communications Holdings Inc,CNSL,20200911,7.05,7.09,6.64,6.79,265000
Cns Pharmaceuticals Inc,CNSP,20200911,2.06,2.09,2.01,2.01,37200
Constellation Pharmaceuticals Inc,CNST,20200911,21.83,22.23,21.31,21.86,221900
Centogene N.V.,CNTG,20200911,11.03,11.23,10.4601,10.59,45800
Century Casinos IN,CNTY,20200911,6.37,6.37,5.975,6.02,353200
PC Connection Inc,CNXN,20200911,44.09,44.76,43.38,43.85,76900
Cocrystal Pharma Inc,COCP,20200911,0.929,0.9386,0.88,0.91,491100
Coda Octopus Group,CODA,20200911,5.93,6.22,5.93,6.22,11200
Co-Diagnostics Inc,CODX,20200911,11.75,14.17,11.75,13.71,21443600
Choiceone Financial,COFS,20200911,28.96,28.97,27.87,27.87,17900
Coherent Inc,COHR,20200911,108.64,109.25,106.2,107.96,96400
Cohu Inc,COHU,20200911,16.27,16.52,16,16.1,199500
Coca Cola Bot Cons,COKE,20200911,270.96,274.8161,266.47,269.1,27100
Columbia Banking Sys,COLB,20200911,25.56,25.77,25.25,25.52,212200
Collegium Pharma,COLL,20200911,18.34,18.44,17.7222,18,219200
Columbia Sprtswr,COLM,20200911,89.72,90.88,89.23,89.99,352400
Commscope Holding Company,COMM,20200911,8.92,8.94,8.57,8.87,6595900
Commodities Select Strategy Ishares ETF,COMT,20200911,25.08,25.14,25.06,25.14,9900
Cyrusone Inc,CONE,20200911,76.64,76.64,74.47,75.24,739100
Conn's Inc,CONN,20200911,10.61,10.73,10.15,10.22,343800
Mr.Cooper Group Inc,COOP,20200911,20.61,20.89,19.825,20.44,2181600
Core Mark Holding,CORE,20200911,32.88,32.88,32.075,32.1,249300
Corcept Therapeutics,CORT,20200911,18.984,19.0498,17.52,17.74,2247300
Costco Wholesale,COST,20200911,340.28,343.26,336.1,339.13,1599900
Coupa Software Inc,COUP,20200911,257.16,258.48,239.7101,243.24,1925300
Cowen Group Inc,COWN,20200911,16.56,16.78,16.32,16.37,339600
Cowen Inc 7.75% Senior Notes Due 2033,COWNL,20200911,26.6901,26.99,26.6901,26.72,3200
Cowen Inc 7.35% Senior Notes Due 2027,COWNZ,20200911,25.284,25.3188,25.2,25.2312,2700
Conyers Park II Acquisition Corp Cl A,CPAA,20200911,10.47,10.48,10.2,10.25,489400
Conyers Park II Acquisition Corp WT,CPAAW,20200911,1.58,1.64,1.5,1.555,59000
Counterpath Corp,CPAH,20200911,3.83,3.83,3.25,3.27,72100
Canterbury Park Hl,CPHC,20200911,12.25,12.29,12.25,12.25,800
Cumberland Pharmaceu,CPIX,20200911,3.3,3.4,3.29,3.4,4900
Capital Product Part,CPLP,20200911,6.39,6.66,6.34,6.59,109000
Copart Inc,CPRT,20200911,102.16,103,100.53,102.01,1370600
Catalyst Pharm Inc,CPRX,20200911,3.24,3.27,3.13,3.2,994800
Cps Technologies,CPSH,20200911,1.5,1.5,1.45,1.45,43300
Computer Programs,CPSI,20200911,29.58,29.8412,27.22,27.71,99600
Consumer Portfol,CPSS,20200911,3.255,3.31,3.16,3.275,16100
Capstone Turbine Cp,CPST,20200911,3.9,4.0181,3.75,3.79,72200
Capitala Finance Crp,CPTA,20200911,9.84,9.84,9.645,9.82,13500
Capitala Finance Corp 5.75% Convertible Notes D,CPTAG,20200911,22.5,23,22.4984,23,1200
Capitala Finance Corp 6% Notes Due 2022,CPTAL,20200911,23.25,23.4,23.25,23.4,2200
Calamos Long/Short Equity & Dynamic Income Trust,CPZ,20200911,15.22,15.25,15.09,15.15,26100
Cra International,CRAI,20200911,41.51,41.75,40.33,40.45,16600
Corbus Pharma,CRBP,20200911,2.3,2.3,1.81,1.88,14233500
Cardiff Oncology Inc.,CRDF,20200911,6.12,6.29,5.5,5.95,527800
Cree Inc,CREE,20200911,59.99,60.86,59.3,59.86,573600
China Recycling Ener,CREG,20200911,2.31,2.34,2.25,2.3,61700
Cresud Sacif ADR,CRESY,20200911,3.11,3.15,3.03,3.04,180400
Creative Realities Inc,CREX,20200911,1.09,1.1,1.05,1.08,46800
Curis Inc,CRIS,20200911,1.04,1.07,1,1,306500
America's Car-Mart,CRMT,20200911,101.94,102.14,96.5,98.07,55400
Cerence Inc,CRNC,20200911,53.91,54,50.7,51.52,413600
Ceragon Networks Ltd,CRNT,20200911,2.16,2.2,2.1,2.12,258900
Crinetics Pharmaceuticals Inc,CRNX,20200911,15.43,15.56,14.865,14.96,45100
Cronos Group Inc,CRON,20200911,5.33,5.34,5.07,5.21,2606400
Crocs Inc,CROX,20200911,40.87,43.15,40.22,41.99,2326500
Crescent Acquisition Corp Cl A,CRSA,20200911,10.15,10.15,10.07,10.095,618100
Crescent Acquisition Corp Unit,CRSAU,20200911,11.69,11.69,11.2,11.2,1000
Crescent Acquisition Corp WT,CRSAW,20200911,1.3,1.38,1.2311,1.25,32900
Crispr Therapeutics Ag,CRSP,20200911,83,84.415,79.67,79.98,738900
Criteo S.A. Ads,CRTO,20200911,12.25,12.63,12.01,12.6,374600
Cortexyme Inc,CRTX,20200911,49.34,49.34,47.13,47.58,110400
Cirrus Logic Inc,CRUS,20200911,57.77,58.43,57.31,58.06,620900
Corvel Cp,CRVL,20200911,85.66,86.23,83.95,84.69,38500
Corvus Pharma Com,CRVS,20200911,3.95,3.99,3.82,3.87,177200
Crowdstrike Holdings Inc,CRWD,20200911,131.12,131.6642,122.85,126.28,4284100
Crown Crafts Inc,CRWS,20200911,5.78,5.84,5.6,5.65,45800
Victory US Smallcap HI Div Vol Wtd ETF,CSB,20200911,38.35,38.45,37.89,38.1538,13600
Champions Oncolog,CSBR,20200911,7.19,7.57,7.19,7.32,20900
Cisco Systems Inc,CSCO,20200911,39.765,40.05,39.515,39.88,21852900
Victory US Disc Enhd Vol Wtd ETF,CSF,20200911,40.45,40.51,40.07,40.1,8000
Costar Group Inc,CSGP,20200911,795.7,799.415,777.2801,785.65,152400
C S G Sys Intl,CSGS,20200911,39.49,39.49,38.7,38.87,98700
Cardiovascular Syst,CSII,20200911,33.83,34.51,33.49,34.09,371000
Canadian Solar Inc,CSIQ,20200911,27.99,29.21,27.975,28.42,4871000
IQ Chaikin U.S. Small Cap ETF,CSML,20200911,22.69,22.69,22.5131,22.5131,29400
Cornerstone Ondemand,CSOD,20200911,35.24,35.24,34.1,34.58,645000
C S P Inc,CSPI,20200911,8.905,9.0409,8.66,8.66,700
Calamos Strgc Ttl Rt,CSQ,20200911,13.46,13.5,13.2,13.29,265800
Chicken Soup For The Soul Entertainment Inc,CSSE,20200911,12.95,13.06,12.24,12.76,14500
Chicken Soup For The Soul Entertainment,CSSEN,20200911,25.25,25.25,25.2,25.2007,3600
Chicken Soup For The Soul Entertainment Inc 9.,CSSEP,20200911,23.3,23.41,23.2,23.2,8300
Caesarstone Sdot-Yam,CSTE,20200911,10.34,10.39,10.24,10.3,61000
Castle Biosciences Inc,CSTL,20200911,49.69,50.25,48.08,48.6,126900
Capstar Financial Holdings Inc,CSTR,20200911,10.57,10.88,10.52,10.6,24300
Capital Southwest,CSWC,20200911,14.92,14.98,14.74,14.88,80700
Capital Southwest Corp 5.95% Notes Due 20,CSWCL,20200911,25.1508,25.2,25.125,25.162,4600
Csw Industrials Inc,CSWI,20200911,74.99,75.37,74.23,74.34,58500
CSX Corp,CSX,20200911,76.25,77.42,76.06,77.17,2892700
Cintas Corp,CTAS,20200911,318.18,323.83,317.19,320.95,307800
Community TR Bancp,CTBI,20200911,30.84,30.86,30.29,30.64,62700
Computer Task Gp Inc,CTG,20200911,4.97,5.03,4.95,5.03,6700
Charles & Colvard,CTHR,20200911,0.679,0.6997,0.67,0.6824,79800
Cti Inds Corp,CTIB,20200911,1.45,1.49,1.3367,1.39,41500
Cti Biopharm Corp,CTIC,20200911,1.05,1.07,1.03,1.04,110900
Cytomx Thera,CTMX,20200911,6.97,7.08,6.67,6.73,699100
Caretrust REIT Inc,CTRE,20200911,19.13,19.13,18.54,18.7,561900
Castor Maritime Inc,CTRM,20200911,0.1708,0.1995,0.1516,0.1585,69116900
Citi Trends Inc,CTRN,20200911,23.49,23.66,22.83,23.6,169400
Cognizant Tech Sol,CTSH,20200911,67.77,69.17,67.06,68.18,4935500
Cytosorbents Cor,CTSO,20200911,7.94,8.08,7.5929,7.69,222500
Citius Pharmaceuticals Inc,CTXR,20200911,0.89,1.02,0.882,1.01,904600
Citius Pharmaceuticals Inc WT,CTXRW,20200911,0.2705,0.37,0.2705,0.37,9800
Citrix Systems Inc,CTXS,20200911,135.71,136.93,131.15,132.37,1613600
Herzfeld Caribbean,CUBA,20200911,3.9,3.92,3.83,3.853,20500
Cue Biopharma Inc,CUE,20200911,16.56,16.85,16.23,16.47,164300
Cutera Inc,CUTR,20200911,17.19,17.62,16.74,17.04,101400
Curevac N.V.,CVAC,20200911,54.96,55.378,51.25,52.68,726100
Cvb Financial Corp,CVBF,20200911,17.29,17.33,17,17.08,339900
Cavco Inds Inc,CVCO,20200911,183.11,184,176.92,177.74,36400
Central Vly Cmty Bcp,CVCY,20200911,11.97,11.98,11.6,11.63,30500
Covetrus Inc,CVET,20200911,20.17,20.7,19.28,19.41,631400
Commercial Vehicle G,CVGI,20200911,4.75,5.21,4.74,5.09,601300
Calavo Growers Inc,CVGW,20200911,66.04,66.04,62.08,63.58,220000
Covenant Logistics Group Inc.,CVLG,20200911,17.19,17.34,16.28,16.31,68700
Commvault Systems,CVLT,20200911,39.97,41.07,39.4,40.39,309500
Codorus Valley Bncp,CVLY,20200911,13.24,13.24,12.9,13,18800
CVD Equipment Corp,CVV,20200911,2.8,2.825,2.7001,2.71,18800
Community West Bncsh,CWBC,20200911,8.15,8.214,8.12,8.15,3300
Cohbar Inc,CWBR,20200911,1.06,1.06,1,1.04,325800
Cons Water Co. Inc,CWCO,20200911,11.19,11.31,11.04,11.08,48700
Casella Waste Sys,CWST,20200911,54.97,55.84,54.37,54.655,242900
China Xd Plastics Company,CXDC,20200911,1.14,1.16,1.12,1.1599,98600
Crexendo Inc,CXDO,20200911,8.99,8.99,8.76,8.84,8500
Wisdomtree China Ex-Cso Fund,CXSE,20200911,109.73,110.0599,108.6109,109.22,14900
Celyad Sa Ads,CYAD,20200911,9.87,9.96,9.84,9.92,9600
Cyanotech Corp,CYAN,20200911,3.14,3.15,2.92,3.07,9200
Cyberoptics Cp,CYBE,20200911,30.97,31.21,29.63,30.07,42900
Cyberark Soft Ord,CYBR,20200911,99.05,100.17,96.08,97.95,493400
Cyclacel Pharmaceuti,CYCC,20200911,3.4,3.4,3.243,3.31,47800
Cyclerion Therapeutics Inc,CYCN,20200911,6.7,6.86,6.5,6.68,152300
Cyren Ltd,CYRN,20200911,1.0508,1.12,0.985,1.03,80300
Cryoport Inc,CYRX,20200911,55.02,57.26,54.89,56.11,484600
Cytokinetics,CYTK,20200911,23.06,23.6,22.42,22.49,454100
Citizens Nrthn Cp,CZNC,20200911,16.87,16.97,16.62,16.7,23300
Caesars Entertainment Inc,CZR,20200911,51.19,51.7233,48.9,50.11,2733100
Citizens Community,CZWI,20200911,6.72,6.76,6.71,6.71,2700
Dada Nexus Limited ADR,DADA,20200911,22.58,24.65,22.47,24.65,711500
Data I O Cp,DAIO,20200911,3.29,3.3,3.24,3.29,2900
Daktronics Inc,DAKT,20200911,4.28,4.34,4.2,4.325,154300
First Trust Dorseywright Dali 1 ETF,DALI,20200911,17.79,17.82,17.67,17.68,40000
Dare Bioscience Inc,DARE,20200911,1.05,1.06,1.04,1.05,306400
DAX Germany ETF,DAX,20200911,29.2185,29.3499,29.2185,29.28,2500
Dbv Technologies Ads,DBVT,20200911,1.96,2,1.93,1.98,665900
Dropbox Inc,DBX,20200911,19.89,20.21,19.45,19.85,4039700
Dime Community Bncsh,DCOM,20200911,12.56,12.65,12.32,12.61,170700
Dime Community Bancshares,DCOMP,20200911,22.49,22.52,22.36,22.36,18500
Deciphera Pharmaceuticals Inc,DCPH,20200911,44.24,45.09,44.02,44.87,395200
Duck Creek Technologies Inc,DCT,20200911,38.8,40.235,38.5315,39.34,236600
Delcath Systems Inc.,DCTH,20200911,11.3,11.68,11.2583,11.57,31400
First Trust High Income ETF,DDIV,20200911,21,21.0197,20.8733,21.0197,800
Datadog Inc Cl A,DDOG,20200911,81.5,83.2985,78.61,80.36,4335300
Dennys Corp,DENN,20200911,11.09,11.22,10.6,10.87,1067800
Diffusion Pharmaceuticals Inc,DFFN,20200911,0.84,0.898,0.84,0.898,741900
Deerfield Healthcare Technology Acquisitions Cor,DFHTU,20200911,10.65,10.65,10.33,10.575,8600
Davis Select Financial ETF,DFNL,20200911,19.62,19.8,19.555,19.77,10400
Dfp Healthcare Acquisitions Corp. Cl A,DFPH,20200911,10.15,10.2,10.12,10.16,141300
Donegal Group Cl A,DGICA,20200911,14.74,14.74,14.4,14.42,24700
Digi Intl Inc,DGII,20200911,14.51,15.04,14.39,14.88,292600
Digital Ally Inc,DGLY,20200911,2.03,2.06,1.92,1.96,627300
Wisdomtree EM Quality Divd Growth Fund,DGRE,20200911,24.55,24.55,24.3208,24.345,3800
Wisdomtree US Smallcap Quality Dvid Fund,DGRS,20200911,31.15,31.36,30.99,31.1783,12100
Wisdomtree US Quality Divd Fund,DGRW,20200911,49.11,49.412,48.74,49.15,213200
Diversified Healthcare Trust,DHC,20200911,3.98,3.98,3.6719,3.7,1425200
Diversified Healthcare Trust,DHCNI,20200911,19.09,19.24,18.93,18.96,13600
Diversified Healthcare Trust,DHCNL,20200911,19.58,19.58,19.35,19.3927,19000
Diamond Hill Inv,DHIL,20200911,122,123.78,121.745,122.5,10900
Davis Select International ETF,DINT,20200911,20.23,20.23,20.0377,20.06,5900
Diodes Inc,DIOD,20200911,48.73,49.16,47.96,48.31,241300
Discovery Comm A,DISCA,20200911,23.41,23.58,22.55,22.83,5007600
Discovery Comm B,DISCB,20200911,36.6,36.6,36.6,36.6,200
Discovery Comm Inc,DISCK,20200911,20.98,21.3,20.48,20.69,2020700
Dish Network Corp,DISH,20200911,32.19,32.34,31.71,32.105,1678100
Daily Journal Cp,DJCO,20200911,253,255,253,253.5,2700
Draftkings Inc,DKNG,20200911,43.2,43.88,40.3,41.46,14762900
Dlh Holdings Corp,DLHC,20200911,7.83,7.89,7.7,7.7,26800
Dolphin Entertainment Inc,DLPN,20200911,0.731,0.8075,0.71,0.7598,1059400
Duluth Hld Cl B,DLTH,20200911,12.97,13.23,12.67,12.98,410200
Dollar Tree Inc,DLTR,20200911,90.49,90.8,89.85,90.05,1979900
Diamedica Therapeutics Inc,DMAC,20200911,4.02,4.43,4.02,4.08,20600
Dorchester Minls,DMLP,20200911,10.45,10.52,10.33,10.4,43300
Digimarc Corp,DMRC,20200911,18.03,18.24,17.61,17.91,69600
Dermtech Inc,DMTK,20200911,11.24,11.24,10.2,10.23,253300
Ishares ESG Advanced MSCI EAFE ETF,DMXF,20200911,55.53,55.82,55.53,55.5606,2100
Dunkin' Brands Group,DNKN,20200911,76.67,76.755,74.665,75.68,547100
Denali Therapeutics Inc,DNLI,20200911,32.12,33.53,31.82,31.99,470000
Docusign Inc,DOCU,20200911,207.84,208.66,193.66,197.94,8183200
Dogness Corp Cl A,DOGZ,20200911,1.14,1.14,1.03,1.0321,5000
Domo Inc Cl B,DOMO,20200911,39.9,41.65,37.921,39.52,606300
Brp Inc,DOOO,20200911,52.22,52.68,51.96,52.32,65800
Dorman Products Inc,DORM,20200911,85.28,87.31,84.86,85.92,131500
Amdocs Ltd Ord,DOX,20200911,57.36,57.835,56.9551,57.3,724500
Douyu International Holdings Ltd Ads,DOYU,20200911,15.66,15.84,15.23,15.81,912500
Diamondpeak Holdings Corp Cl A,DPHC,20200911,22.54,25.3,22.47,24.68,8811300
Diamondpeak Holdings Corp Units,DPHCU,20200911,23.37,28.7999,23.37,28.5,87000
Diamondpeak Holdings Corp Wt6,DPHCW,20200911,9.88,11.44,9.6276,11.38,1269600
Digirad Corp,DRAD,20200911,2.7,2.7,2.61,2.63,35900
Digirad Corp Series A Cumulative Perpetua,DRADP,20200911,8.3601,8.585,8.3601,8.585,800
Dario Health Corp,DRIO,20200911,15.26,15.46,14.75,15.05,110100
Labstyle Innovati WT,DRIOW,20200911,0.0513,0.077,0.0506,0.062,24400
Global X Autonomous & Electric Vehicles ETF,DRIV,20200911,16.8,16.8409,16.54,16.68,45800
Dicerna Pharmaceutic,DRNA,20200911,17.65,17.65,17.02,17.415,932200
Durect Corp,DRRX,20200911,1.61,1.645,1.57,1.6,654000
Dirtt Environmental Solutions Ltd,DRTT,20200911,1.72,1.82,1.695,1.8,116000
Descartes Sys Group,DSGX,20200911,55.05,55.05,53.32,53.75,147000
Daseke Inc,DSKE,20200911,6.02,6.1,5.7,5.79,156400
Daseke Inc,DSKEW,20200911,0.1721,0.1721,0.168,0.17,65300
D S P Group Inc,DSPG,20200911,13.62,13.76,13.22,13.24,139200
Deswell Inds Inc,DSWL,20200911,2.51,2.51,2.4313,2.451,2300
Davidstea Inc,DTEA,20200911,1,1.0347,1,1,39200
Precision Biosciences Inc,DTIL,20200911,5.42,5.56,5.18,5.24,305600
Datasea Inc,DTSS,20200911,3.49,3.49,3.14,3.21,118100
Fangdd Network Group Ltd ADR,DUO,20200911,7.15,7.3616,6.5992,6.62,16800
Duos Technologies Group Inc,DUOT,20200911,4.0039,4.0039,3.82,3.87,3400
Davis Select USA ETF,DUSA,20200911,25.37,25.42,25.13,25.26,3200
Dynavax Technologies,DVAX,20200911,5.02,5.1,4.89,5.01,1797200
First Trust Momentum & Value ETF,DVLU,20200911,15.11,15.11,15.107,15.107,200
First Trust Momentum & Low Volatility ETF,DVOL,20200911,22.1118,22.1626,21.8401,22.0128,11000
Select Dividend Ishares ETF,DVY,20200911,83.45,84.18,83.09,83.97,869300
DWA Smallcap Momentum Invesco ETF,DWAS,20200911,57.46,57.6978,56.29,56.67,10200
Arrow DWA Tactic ETF,DWAT,20200911,11.13,11.13,10.9,10.905,3200
Advisorshares Dorsey Wright Fsm All Cap World Et,DWAW,20200911,29.87,29.87,29.8519,29.8519,1500
Advisorshares Dorsey Wright Alpha Equal Weight E,DWEQ,20200911,22.85,22.85,22.23,22.5281,8100
DW Fixed Income Allocation ETF SPDR,DWFI,20200911,24.188,24.19,24.08,24.1564,9000
Davis Select World Opportunities ETF,DWLD,20200911,25.83,25.869,25.5341,25.7134,7500
Advisorshares D.W. Short ETF,DWSH,20200911,18.29,18.46,18.12,18.21,124500
Dawson Geophscl,DWSN,20200911,1.64,1.65,1.62,1.63,12700
Dexcom,DXCM,20200911,396.05,399.405,377.81,383.46,603000
Wisdomtree Germany Hedged Eqty Fund,DXGE,20200911,29.8101,29.99,29.8101,29.99,300
Wisdomtree Japan Smallcap Eqty Hedged Fund,DXJS,20200911,38.61,38.8,38.61,38.8,4100
Destination XL Group,DXLG,20200911,0.276,0.2798,0.2601,0.2643,1174900
Dxp Enterprise,DXPE,20200911,17.91,17.91,16.73,17.065,102400
The Dixie Group,DXYN,20200911,0.88,0.9148,0.8636,0.8699,56100
Dyadic International,DYAI,20200911,7.69,7.84,7.385,7.53,73400
Dynatronics Cp,DYNT,20200911,0.72,0.72,0.6805,0.698,142500
Dasan Zhone Solutions Inc,DZSI,20200911,9.86,9.86,9.5,9.5,21900
Electronic Arts Inc,EA,20200911,127.99,128.39,124.4,126.02,1746600
Auris Medical,EARS,20200911,0.813,0.8131,0.73,0.7801,504500
Eastside Distilling Inc,EAST,20200911,1.17,1.1964,1.14,1.16,56900
Ebay Inc,EBAY,20200911,52.33,53.08,52.1,52.77,7224600
Ebay Inc 6.0% NTS,EBAYL,20200911,25.78,25.785,25.74,25.74,33600
Ebix Inc,EBIX,20200911,19.87,20.09,19.51,19.79,250200
Global X E-Commerce ETF,EBIZ,20200911,26.79,26.79,26.085,26.34,41700
Eagle Bancorp [Mt],EBMT,20200911,17.19,17.75,17.19,17.54,22100
Ebang International Holdings Inc Cl A,EBON,20200911,7.88,8.139,7.61,7.71,213400
Meridian Bncp,EBSB,20200911,11.2,11.25,11.1,11.11,120100
Enterprise Bancorp,EBTC,20200911,20.92,21.435,20.92,21.11,6500
Echo Global Logistic,ECHO,20200911,27.91,27.91,26.82,26.88,134700
US Ecology Inc,ECOL,20200911,37.69,37.69,35.66,35.91,164400
Electrocore Inc,ECOR,20200911,1.45,1.4962,1.41,1.43,220000
Encore Capital Group,ECPG,20200911,41.38,41.79,40.89,41.06,298600
Edap Tms Sa ADR,EDAP,20200911,3.86,3.98,3.77,3.93,47500
Editas Medicine,EDIT,20200911,30.34,31.44,29.73,29.99,675200
Edison Nation Inc,EDNT,20200911,1.86,1.92,1.79,1.82,201400
Global X Telemedicine & Digital Health ETF,EDOC,20200911,16,16.035,15.62,15.76,190200
Eurodry Ltd,EDRY,20200911,3.685,3.7374,3.5,3.5101,6600
Edesa Biotech Inc,EDSA,20200911,7.95,8.22,7.3,7.42,347900
Skillful Craftsman Education Technology Ltd,EDTK,20200911,3.88,4.05,3.72,3.72,426000
Educational Dev Cp,EDUC,20200911,15.21,16.2,15.17,15.26,24300
Global X Education ETF,EDUT,20200911,15.65,15.65,15.31,15.4394,1300
Euronet Worldwide,EEFT,20200911,91.61,92.05,90.075,91.75,502700
Emrg Mkts Asia Ishares MSCI ETF,EEMA,20200911,74.56,75.25,74.38,74.65,21600
G-X MSCI Superdividend EAFE ETF,EFAS,20200911,12.5531,12.5531,12.47,12.525,6000
Energy Focus Inc.,EFOI,20200911,7.83,8.04,7.71,7.75,15500
Enterprises Finl Svc,EFSC,20200911,29.5,29.52,28.85,29.08,71100
Egain Corp,EGAN,20200911,13.55,13.83,13.3622,13.66,253900
Eagle Bancorp Inc,EGBN,20200911,28.17,28.59,27.9,28.19,109900
Eagle Bulk Ship,EGLE,20200911,2.63,2.7,2.56,2.61,201900
Nic Inc,EGOV,20200911,20.55,20.71,20.36,20.53,264800
Eagle Pharmaceuticals,EGRX,20200911,37.11,38,36.6,37.02,109000
Ehang Holdings Ltd Ads,EH,20200911,8.91,9.2,8.81,9.12,51900
Ehealth Inc,EHTH,20200911,71.81,74.79,70.76,71.78,772600
Eidos Therapeutics Inc,EIDX,20200911,46.65,47.87,46.1,47.3,67000
Endurance Int Group,EIGI,20200911,5.55,5.71,5.39,5.41,438400
Eiger Biopharma,EIGR,20200911,10.63,10.76,9.95,10.04,371700
Ekso Bionics Holdings Inc,EKSO,20200911,4.93,4.95,4.72,4.76,36200
Eloxx Pharmaceuticals Inc,ELOX,20200911,2.89,2.89,2.73,2.76,21900
Electro Sensors IN,ELSE,20200911,3.4335,3.4699,3.4027,3.4027,4600
Eltek Ltd,ELTK,20200911,4.8116,4.99,4.7922,4.95,14200
USD Emrg Mkts Bond Ishares JPM ETF,EMB,20200911,113.41,113.42,113.04,113.25,2613300
Wisdomtree EM Corp Bond Fund,EMCB,20200911,73.8237,74.89,73.8237,74.495,1400
Emclaire Finl Cor,EMCF,20200911,24.98,25,24.98,24.98,900
Emrg Mkts Infrastructure Ishares ETF,EMIF,20200911,21.395,21.395,21.33,21.33,600
Emcore Corp,EMKR,20200911,3.28,3.38,3.28,3.3,469700
Eastern Company,EML,20200911,20.87,21.5684,20.5,21.35,6300
Emrg Mkts Ex China Ishares MSCI ETF,EMXC,20200911,46.7,46.8,46.55,46.64,2600
Endo Int'l Plc,ENDP,20200911,2.74,2.81,2.72,2.8,3723100
Englobal Corp,ENG,20200911,0.8805,0.933,0.8352,0.839,223000
Enlivex Therapeutics Ltd,ENLV,20200911,4.99,5.1,4.7,4.98,109900
Enochian Biosciences Inc,ENOB,20200911,4.1,4.1648,3.76,3.82,86000
Enphase Energy Inc,ENPH,20200911,67.78,68.1,64.2,65.1,2585200
The Ensign Group IN,ENSG,20200911,55.11,55.11,52.89,53.44,221200
Enanta Pharmaceutica,ENTA,20200911,46.3,48.24,45.87,46.38,202000
Entegris Inc,ENTG,20200911,66.13,66.51,64.75,65.39,1127500
Entera Bio Ltd,ENTX,20200911,1.14,1.14,1.07,1.07,39900
Entera Bio Ltd WT,ENTXW,20200911,0.25,0.25,0.2,0.2,1000
New Zealand Ishares MSCI ETF,ENZL,20200911,58.42,58.61,57.93,58.25,12100
Evolus Inc,EOLS,20200911,3.64,3.68,3.5,3.53,253500
Bottomline Tech IN,EPAY,20200911,42.1,42.13,41.2,41.51,217200
Essa Pharma,EPIX,20200911,7.54,7.63,7.35,7.39,249800
Epsilon Energy,EPSN,20200911,3.1,3.115,3.08,3.09,26600
Epizyme Inc,EPZM,20200911,12.31,12.38,11.81,12,624600
Equillium Inc,EQ,20200911,5.16,5.79,5.06,5.56,372400
Equity Bncsrs Cm A,EQBK,20200911,16.42,16.54,16.19,16.33,30200
Equinix Inc,EQIX,20200911,747.11,750.76,737.97,747.79,222000
Proshares Equities For Rising Rates ETF,EQRR,20200911,30.33,30.33,30.33,30.33,100
East Resources Acquisition Company,ERESU,20200911,9.9407,10,9.915,9.95,546000
Ericsson ADR,ERIC,20200911,10.96,10.995,10.81,10.9,5938200
Erie Indemnity Company,ERIE,20200911,221.77,224.18,219.89,220.48,53800
Energy Recovery Inc,ERII,20200911,8.83,9.18,8.8,8.96,246100
Erytech Pharma,ERYP,20200911,6.12,6.44,6.0502,6.44,1300
